"id_tiempo","id_fecha","id_estado_cielo","temperatura","sensacion_termica","racha_max","precipitacion","nieve","humedad_relativa","probabilidad_de_nieve","probabilidad_de_tormenta","direccion_viento","velocidad_del_viento","id_municipio"
172,40,4,20,20,19.0,0.0,0,86,0,5,E,11,4
173,41,2,19,19,13.0,0.0,0,85,0,5,NE,13,4
174,42,6,19,19,12.0,0.0,0,87,0,5,NE,8,4
175,43,5,19,19,10.0,0.0,0,90,0,5,N,8,4
176,44,1,18,18,8.0,0.0,0,90,0,5,NE,6,4
177,1,15,25,25,18.0,0.1,0,61,0,75,SE,8,5
178,2,7,27,28,18.0,0.1,0,55,0,75,E,7,5
179,3,8,28,28,21.0,0.0,0,46,0,80,E,5,5
180,4,8,29,29,35.0,0.0,0,42,0,80,S,8,5
181,5,1,27,27,37.0,0.0,0,49,0,80,S,21,5
182,6,6,26,26,30.0,0.0,0,47,0,80,S,22,5
183,7,8,27,27,30.0,0.0,0,42,0,80,S,15,5
184,8,7,25,25,21.0,0.8,0,46,0,80,S,16,5
185,9,2,23,23,18.0,0.0,0,68,0,70,NE,12,5
186,10,8,22,22,24.0,0.0,0,77,0,70,N,9,5
187,11,16,21,21,38.0,6.0,0,88,0,70,N,9,5
188,12,2,20,20,38.0,0.0,0,96,0,70,NE,17,5
189,13,6,19,19,36.0,0.0,0,97,0,70,E,10,5
190,14,5,19,19,22.0,0.0,0,97,0,70,E,18,5
191,15,6,18,18,29.0,0.0,0,100,0,15,NE,15,5
192,16,4,18,18,24.0,0.0,0,100,0,15,N,19,5
193,17,2,18,18,18.0,0.0,0,100,0,15,NE,15,5
194,18,5,18,18,19.0,0.0,0,100,0,15,NE,12,5
195,19,4,18,18,21.0,0.0,0,100,0,15,NE,13,5
196,20,6,18,18,15.0,0.0,0,100,0,15,NE,14,5
197,21,8,17,17,23.0,0.0,0,100,0,25,NE,9,5
198,22,2,20,20,16.0,0.0,0,94,0,25,NE,14,5
199,23,8,22,22,30.0,0.0,0,85,0,25,NE,8,5
200,24,2,24,24,35.0,0.0,0,77,0,25,SE,20,5
201,25,1,26,26,34.0,0.0,0,58,0,25,E,23,5
202,26,1,27,28,31.0,0.0,0,56,0,25,NO,22,5
203,27,2,28,29,25.0,0.0,0,51,0,60,N,15,5
204,28,8,29,30,19.0,0.0,0,56,0,60,NE,14,5
205,29,7,30,31,20.0,0.1,0,50,0,60,NE,10,5
206,30,8,31,33,14.0,0.0,0,52,0,60,NE,10,5
207,31,6,28,29,16.0,0.0,0,52,0,60,E,7,5
