"id_lugar","id_municipio","id_categoria","nombre","direccion","distancia_al_centro"
400,77,1,Parque Villoslada,"Muñopedro, 28005 Madrid Comunidad de Madrid",1543.0
401,77,1,Centro Infantil Nariz Roja,"Juan Álvarez Mendizábal, 44, 28008 Madrid Comunidad de Madrid",1553.0
402,77,1,Erizo Castizo,N/A,1557.0
403,77,1,Mundo Alopeke,"28014 Madrid Madrid",1578.0
404,77,1,Just Run,N/A,1599.0
405,77,1,Parque infantil san Isidoro de Sevilla,"San Isidoro de Sevilla, 28005 Madrid Comunidad de Madrid",1604.0
406,77,1,Parque,Madrid Comunidad de Madrid,1618.0
407,77,1,De Duendes,Madrid Madrid,1642.0
408,77,1,Columpios,"Calle de Fuencarral, 140, Madrid Comunidad de Madrid",1668.0
409,77,1,Parque Infantil,"Calle de Fuencarral, 150, 28010 Madrid Comunidad de Madrid",1779.0
410,77,2,Statue of the Bear and the Strawberry Tree (Estatua del Oso y el Madroño),"C. de Alcalá, 28013 Madrid Comunidad de Madrid",86.0
411,77,2,Círculo de Bellas Artes,"Calle Alcalá, 42, 28014 Madrid Comunidad de Madrid",623.0
412,77,2,Kilometer 0 (Kilómetro 0),"28013 Madrid Comunidad de Madrid",24.0
413,77,2,Plaza de las Cortes,"Plaza de las Cortes 4 Izquierda, 28014 Madrid Comunidad de Madrid",664.0
414,77,2,Fuente de Cibeles (Fuente de La Cibeles),"Plaza de la Cibeles, s/n, 28014 Madrid Comunidad de Madrid",935.0
415,77,2,Puerta de Toledo,"28005 Madrid Comunidad de Madrid",1357.0
416,77,2,Monumento a Cervantes,"28013 Madrid Comunidad de Madrid",1051.0
417,77,2,Viaducto de Segovia,"Calle Segovia, 21, 28005 Madrid Comunidad de Madrid",893.0
418,77,2,Fuente de Apolo (Madrid),Madrid Comunidad de Madrid,819.0
419,77,2,Cuartel del Conde-Duque,"Calle del Conde Duque, 11, 28015 Madrid Comunidad de Madrid",1325.0
420,77,2,Palacio de Cristal del Retiro,"P. de Julio Romero de Torres, s/n (P. de Julio Romero de Torres, s/n), Madrid Comunidad de Madrid",1873.0
421,77,2,Monumento a Alfonso XII de España,"Parque del Retiro, 28009 Madrid Comunidad de Madrid",1738.0
422,77,2,Monumento del Dos de Mayo,"Paseo del Prado y Precisamente en el Mismo Lugar en el Que el, 2, Madrid Comunidad de Madrid",877.0
423,77,2,Bolsa de Madrid,"Plaza de la Lealtad, 1 (Paseo del Prado), 28014 Madrid Comunidad de Madrid",966.0
424,77,2,Bosque del Recuerdo,"El Bosque del Recuerdo Es Un Monumento Homenaje a las, 191 (Parque del Retiro), 28009 Madrid Comunidad de Madrid",1483.0
425,77,2,Monumento del Ángel Caído,"28009 Madrid Comunidad de Madrid",1888.0
426,77,2,Congreso de los Diputados,"Calle Floridablanca, s/n (Pl. de las Cortes), 28014 Madrid Comunidad de Madrid",541.0
427,77,2,Puerta del Angel Caido,"28001 Madrid Comunidad de Madrid",1485.0
428,77,2,Puerta de San Vicente,"28008 Madrid Comunidad de Madrid",1474.0
429,77,2,Estatua de Carlos III,Madrid Comunidad de Madrid,32.0
430,77,2,Palacio de Liria,"Calle Princesa, 20, 28008 Madrid Comunidad de Madrid",1431.0
431,77,2,Monumento a Cristobal Colón,"P. de la Castellana, 4, 28046 Madrid Comunidad de Madrid",1452.0
432,77,2,Estatua de Felipe IV,"28013 Madrid Comunidad de Madrid",746.0
433,77,2,Placa Fundación del Atlético de Madrid,"28012 Madrid Comunidad de Madrid",203.0
434,77,2,Palacio de Santa Cruz (Madrid),"Plaza de la Provincia, 1, 28012 Madrid Comunidad de Madrid",304.0
435,77,2,Monumento Calderón de la Barca,"Plaza de Santa Ana, Madrid Comunidad de Madrid",312.0
436,77,2,La Reina Dana Isabel II,"28012 Madrid Comunidad de Madrid",357.0
437,77,2,Casa de Cervantes (Madrid),"Calle Cervantes, 2, 28014 Madrid Comunidad de Madrid",496.0
438,77,2,Palacio y Torre de los Lujanes,Comunidad de Madrid,580.0
439,77,2,Monumento a los Abogados de Atocha,"28014 Madrid Comunidad de Madrid",608.0
440,77,2,Casa Cisneros,"Plaza de la Villa, 4, 28005 Madrid Comunidad de Madrid",617.0
441,77,2,Casa de la Villa de Madrid,"Plaza de la Villa, 5, 28005 Madrid Comunidad de Madrid",623.0
442,77,2,Casa de las Siete Chimeneas,"Plaza del Rey, 1, 28004 Madrid Comunidad de Madrid",719.0
443,77,2,The Curious Neighbor,"28013 Madrid Comunidad de Madrid",800.0
444,77,2,Monumento a Larra,Madrid Comunidad de Madrid,813.0
445,77,2,La Casa de la Brujita,Madrid Comunidad de Madrid,837.0
446,77,2,Republican Lamp Post,"28013 Madrid Comunidad de Madrid",839.0
447,77,2,Muralla Árabe,"Cuesta de la Vega, s/n, 28005 Madrid Comunidad de Madrid",936.0
448,77,2,Estatua de Velasquez,"28014 Madrid Comunidad de Madrid",987.0
449,77,2,Agustinas Recoletas Molasterio de Santa Isabel,"Calle Santa Isabel, 48, 28012 Madrid Comunidad de Madrid",1021.0
450,77,2,Rae,N/A,1037.0
451,77,2,Palacio Longoria,"Calle de Fernando VI, 4, 28004 Madrid Comunidad de Madrid",1130.0
452,77,2,Puerta de Felipe IV,Madrid Comunidad de Madrid,1268.0
453,77,2,Monumento homenaje a las víctimas del 11-M,"28005 Madrid Comunidad de Madrid",1649.0
454,77,2,Torres de Colón,"Calle de Genova, 2 (C. Génova, 27), 28004 Madrid Comunidad de Madrid",1456.0
455,77,2,Real Parque del Buen Retiro,"Alfonso XII, s/n, 28014 Madrid Comunidad de Madrid",1603.0
456,77,2,Monumento a Santiago Ramón y Cajal,Madrid Comunidad de Madrid,1883.0
457,77,2,Antiguas Escuelas Aguirre,"Calle de Alcalá, 62, 28009 Madrid Comunidad de Madrid",1924.0
458,77,2,Estación de Sol,Madrid Madrid,32.0
459,77,2,Cartel de Tio Pepe,"28005 Madrid Madrid",32.0
460,77,7,Fuente de Neptuno,"Calle Marques de Cubas, 18, 28014 Madrid Comunidad de Madrid",820.0
461,77,7,Fuente de los Galápagos,Madrid Comunidad de Madrid,1544.0
462,77,7,Fuente de la Alcachofa,"28012 Madrid Comunidad de Madrid",1651.0
463,77,8,Puente de Segovia,"Calle Segovia, 0, 28005 Madrid Comunidad de Madrid",481.0
464,77,8,Viaducto,"Calle Moreria, 11, 28005 Madrid Comunidad de Madrid",927.0
465,77,8,Puente del Rey,Madrid Comunidad de Madrid,1587.0
466,77,8,Pasarela Casa de Campo,"Calle Aniceto Marinas, 24 (Casa de Campo), 28008 Madrid Comunidad de Madrid",1738.0
467,77,8,Puente de San Isidro,"Av. del Manzanares, Madrid Comunidad de Madrid",1891.0
468,77,8,Presa nº4,"Calle Ribera del Manzanares, 31, 28008 Madrid Comunidad de Madrid",1958.0
469,77,9,Playas de Rodalquilar,"Calle Marques de la Ensenada Numero, 16, Madrid Madrid",1365.0
470,77,3,Non Stop People,"Calle Gran Vía, 1, 28013 Madrid Comunidad de Madrid",551.0
471,77,3,Antena 3 de Television,"Plaza Marina Española, 8, 28013 Madrid Comunidad de Madrid",840.0
472,77,3,Paramount Comedy Channel España,"Recoletos, 33, 28004 Madrid Comunidad de Madrid",1286.0
473,77,3,Tinku,"Ronda de Segovia, 2G, 28005 Madrid Comunidad de Madrid",1301.0
474,77,3,Bloomberg,"Paseo Castellana, 9, 28046 Madrid Comunidad de Madrid",1625.0
475,77,3,Canal Plus,"Gran Vía, 32, 28013 Madrid Madrid",403.0
476,77,3,Digital,"Gran Vía, 32, 28013 Madrid Madrid",403.0
477,77,3,Mtv España,"Serrano, 43-45, 28001 Madrid Madrid",1928.0
